gene_symbol,probe_id,probe_name,gene_id,gene_name,entrez_id,chromosome,pvalb_cor
AASDHPPT,1040192,A_24_P295620,37956,aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,60496,11,0.1425274310467358
AASS,1047763,CUST_8049_PI416261804,10012,aminoadipate-semialdehyde synthase,10157,7,-0.22729235388950816
AATF,1022506,CUST_51_PI416408490,26321,apoptosis antagonizing transcription factor,26574,17,0.05422156923735651
AATK,1016164,A_23_P10559,9481,apoptosis-associated tyrosine kinase,9625,17,0.020720400392920182
ABAT,1010530,A_23_P152505,15,4-aminobutyrate aminotransferase,18,16,0.09757077523241617
ABCA1,1059493,A_24_P235429,16,"ATP-binding cassette, sub-family A (ABC1), member 1",19,9,-0.3686037654482773
ABCA10,1047517,A_23_P89422,10202,"ATP-binding cassette, sub-family A (ABC1), member 10",10349,17,0.0823111964065715
ABCA11P,1028875,CUST_1868_PI416261804,55765,"ATP-binding cassette, sub-family A (ABC1), member 11, pseudogene",79963,4,-0.10940884903541048
ABCA17P,1065812,A_32_P29703,181276,"ATP-binding cassette, sub-family A (ABC1), member 17, pseudogene",650655,16,-0.4055711523495921
ABCA2,1059490,A_23_P43504,17,"ATP-binding cassette, sub-family A (ABC1), member 2",20,9,-0.014995037224934626
ABCA3,1059488,A_23_P140876,18,"ATP-binding cassette, sub-family A (ABC1), member 3",21,16,0.03388744387321291
ABCA5,1045679,A_24_P67096,23216,"ATP-binding cassette, sub-family A (ABC1), member 5",23461,17,0.30245888813580335
ABCA6,1065173,A_24_P378581,23215,"ATP-binding cassette, sub-family A (ABC1), member 6",23460,17,0.5821473403755022
ABCA7,1047519,A_23_P39481,10200,"ATP-binding cassette, sub-family A (ABC1), member 7",10347,19,0.33443847507692775
ABCA8,1047514,CUST_16471_PI416261804,10204,"ATP-binding cassette, sub-family A (ABC1), member 8",10351,17,-0.04935991808032023
ABCA9,1047516,CUST_9401_PI416261804,10203,"ATP-binding cassette, sub-family A (ABC1), member 9",10350,17,0.2814428832829115
ABCB1,1053121,A_23_P82523,5211,"ATP-binding cassette, sub-family B (MDR/TAP), member 1",5243,7,0.15591282909435875
ABCB10,1045687,A_24_P274073,23211,"ATP-binding cassette, sub-family B (MDR/TAP), member 10",23456,1,0.07845647653113104
ABCB6,1047875,A_23_P5441,9913,"ATP-binding cassette, sub-family B (MDR/TAP), member 6",10058,2,-0.27760776169931656
ABCB7,1059486,A_23_P171258,19,"ATP-binding cassette, sub-family B (MDR/TAP), member 7",22,X,0.2512282425116675
ABCB8,1046488,A_23_P82249,11034,"ATP-binding cassette, sub-family B (MDR/TAP), member 8",11194,7,0.003869456744551261
ABCB9,1045682,A_23_P128094,23212,"ATP-binding cassette, sub-family B (MDR/TAP), member 9",23457,12,0.2871515965196258
ABCC1,1027720,CUST_15965_PI416261804,4337,"ATP-binding cassette, sub-family C (CFTR/MRP), member 1",4363,16,0.10694238209993
ABCC10,1036986,A_23_P219013,59781,"ATP-binding cassette, sub-family C (CFTR/MRP), member 10",89845,6,0.0611281002626378
ABCC12,1036408,CUST_1694_PI416261804,60804,"ATP-binding cassette, sub-family C (CFTR/MRP), member 12",94160,16,-0.10047268644625681
ABCC3,1049392,A_23_P207507,8643,"ATP-binding cassette, sub-family C (CFTR/MRP), member 3",8714,17,0.3413959284817728
ABCC4,1018189,A_24_P16913,10111,"ATP-binding cassette, sub-family C (CFTR/MRP), member 4",10257,13,-0.3190720226337242
ABCC5,1047877,A_23_P258221,9912,"ATP-binding cassette, sub-family C (CFTR/MRP), member 5",10057,3,0.32068662257754843
ABCC6,1015764,A_23_P15272,365,"ATP-binding cassette, sub-family C (CFTR/MRP), member 6",368,16,-0.3044655631187241
ABCC8,1051026,A_23_P24774,6793,"ATP-binding cassette, sub-family C (CFTR/MRP), member 8",6833,11,0.558827656223103
ABCC9,1025070,A_24_P178503,9915,"ATP-binding cassette, sub-family C (CFTR/MRP), member 9",10060,12,-0.10328208009122623
ABCD1,1059279,A_23_P148556,212,"ATP-binding cassette, sub-family D (ALD), member 1",215,X,-0.05764199194463674
ABCD2,1059261,CUST_16263_PI416261804,222,"ATP-binding cassette, sub-family D (ALD), member 2",225,12,0.34601444356737937
ABCD3,1011381,CUST_16301_PI416261804,5793,"ATP-binding cassette, sub-family D (ALD), member 3",5825,1,-0.05434667851524269
ABCD4,1018494,A_23_P37327,5794,"ATP-binding cassette, sub-family D (ALD), member 4",5826,14,0.08778673928581356
ABCE1,1020886,A_23_P41380,6027,"ATP-binding cassette, sub-family E (OABP), member 1",6059,4,0.08842510264676755
ABCF1,1059485,A_23_P251660,20,"ATP-binding cassette, sub-family F (GCN20), member 1",23,6,0.020821898096385245
ABCF2,1024084,A_23_P215175,9916,"ATP-binding cassette, sub-family F (GCN20), member 2",10061,7,0.30631251173089
ABCF3,1041989,A_24_P251688,34613,"ATP-binding cassette, sub-family F (GCN20), member 3",55324,3,0.05865388967648627
ABCG1,1028929,A_23_P166297,9475,"ATP-binding cassette, sub-family G (WHITE), member 1",9619,21,-0.034182969901746296
ABCG2,1048598,A_23_P18713,9293,"ATP-binding cassette, sub-family G (WHITE), member 2",9429,4,0.23042595199148952
ABCG4,1015836,A_24_P355626,40770,"ATP-binding cassette, sub-family G (WHITE), member 4",64137,11,0.5961334556966817
ABCG5,1039920,A_23_P119763,40871,"ATP-binding cassette, sub-family G (WHITE), member 5",64240,2,-0.003017672976684334
ABCG8,1039919,CUST_16054_PI416261804,40872,"ATP-binding cassette, sub-family G (WHITE), member 8",64241,2,-0.056567468394528087
ABHD1,1037409,A_23_P17242,58894,abhydrolase domain containing 1,84696,2,-0.294876776655125
ABHD10,1041937,A_23_P92213,34636,abhydrolase domain containing 10,55347,3,0.2995937260870115
ABHD11,1023804,A_23_P315933,57695,abhydrolase domain containing 11,83451,7,0.38250058265159087
ABHD12,1045049,A_23_P367026,25839,abhydrolase domain containing 12,26090,20,0.40802105407236405
ABHD12B,1024791,CUST_7223_PI416261804,80438,abhydrolase domain containing 12B,145447,14,0.06100412926128301
ABHD13,1037200,A_23_P205027,59135,abhydrolase domain containing 13,84945,13,-0.0790161798592391
ABHD14A,1045270,A_23_P69267,25613,abhydrolase domain containing 14A,25864,3,0.3054913260614353
ABHD14B,1018860,A_23_P155417,59026,abhydrolase domain containing 14B,84836,3,-0.016944839635279534
ABHD15,1070242,A_23_P363034,77755,abhydrolase domain containing 15,116236,17,-0.11036075095983103
ABHD2,1015263,A_32_P58999,10899,abhydrolase domain containing 2,11057,15,-0.08736334181324729
ABHD3,1033647,A_23_P305759,82725,abhydrolase domain containing 3,171586,18,-0.011849445973544894
ABHD4,1040141,A_23_P205519,40517,abhydrolase domain containing 4,63874,14,-0.28987800720587265
ABHD5,1043771,A_23_P250294,30581,abhydrolase domain containing 5,51099,3,0.06595985376093351
ABHD6,1040691,A_23_P211850,36680,abhydrolase domain containing 6,57406,3,0.32763457178172606
ABHD8,1039214,A_23_P50857,55378,abhydrolase domain containing 8,79575,19,0.25888234991026887
ABI1,1030126,A_23_P126992,9862,abl-interactor 1,10006,10,-0.32040134078886107
ABI2,1047770,A_23_P79692,10007,abl-interactor 2,10152,2,-0.2456321496021561
ABI3,1043626,A_23_P141429,30707,"ABI family, member 3",51225,17,-0.18225905885249738
ABI3BP,1045248,CUST_15613_PI416261804,25639,"ABI family, member 3 (NESH) binding protein",25890,3,-0.24859175760655022
ABL1,1059478,A_23_P60180,22,"c-abl oncogene 1, non-receptor tyrosine kinase",25,9,-0.09037005897784123
ABL2,1011338,A_32_P139894,24,v-abl Abelson murine leukemia viral oncogene homolog 2,27,1,0.22727067703938067
ABLIM1,1027347,A_23_P202520,3958,actin binding LIM protein 1,3983,10,0.04726450163450532
ABLIM2,1037585,A_23_P255672,58649,"actin binding LIM protein family, member 2",84448,4,0.5323316663240371
ABLIM3,1046215,A_23_P256205,22641,"actin binding LIM protein family, member 3",22885,5,-0.4391099888207808
ABO,1059475,CUST_15272_PI416261804,25,"ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)",28,9,-0.030194478771028897
ABR,1059473,A_23_P503182,26,active BCR-related,29,17,-0.12073101607739195
ABT1,1044249,CUST_2114_PI416261804,29512,activator of basal transcription 1,29777,6,0.203756434553814
ABTB1,1026256,A_23_P109643,56126,ankyrin repeat and BTB (POZ) domain containing 1,80325,3,0.6019319449749031
ABTB2,1045285,A_23_P356616,25590,ankyrin repeat and BTB (POZ) domain containing 2,25841,11,0.4103141534717986
AC002351.1,1015630,A_32_P211253,1002460,uncharacterized LOC100131138,100131138,12,0.3378686534931329
AC002472.8,1019207,A_24_P259154,76680,"tubulin, alpha 3f, pseudogene",113691,22,-0.20069226435769372
AC002472.9,1014716,CUST_11615_PI416261804,133153,THAP7 antisense RNA 1 (non-protein coding),439931,22,0.007005443842046561
AC002511.1,1056217,A_23_P56239,2848,free fatty acid receptor 3,2865,19,0.027360716535372837
AC002563.2,1018725,CUST_830_PI416573500,122758,transmembrane protein 233,387890,12,-0.47561753765367415
AC004053.1,1036458,A_23_P133075,60300,TBC1 domain containing kinase,93627,4,-0.20241246693666534
AC004241.1,1049171,A_24_P347310,8830,"endonuclease, polyU-specific",8909,12,-0.30289475488980044
AC004381.2,1018319,A_23_P49459,57373,exonuclease NEF-sp,81691,16,-0.20571451577884914
AC004409.1,1019024,CUST_745_PI416573500,110266,coiled-coil domain containing 160,347475,X,0.07870247081699358
AC004690.2,1018953,A_24_P695306,180757,transmembrane protein 229A,730130,7,0.12334117458926482
AC004863.6,1065986,A_32_P102750,81208,uncharacterized LOC154822,154822,7,-0.18818936630100414
AC004980.7,1070145,A_32_P219963,1011221,uncharacterized LOC100133091,100133091,7,0.18324266628600697
AC005014.1,1018435,A_32_P222149,1000033,leucine rich repeat containing 72,100506049,7,-0.04198111540394224
AC005041.9,1015562,A_24_P772436,1001907,DCTN1 antisense RNA 1 (non-protein coding),100189589,2,0.22589255993386215
AC005077.3,1014963,CUST_3274_PI416261804,85839,serine/arginine repetitive matrix 3,222183,7,-0.06958113926500688
AC005152.2,1021127,A_24_P497464,125184,uncharacterized LOC400618,400618,17,-0.5273579238746466
AC005277.1,1048040,A_23_P26854,9768,Rho GTPase activating protein 44,9912,17,0.4009967889929108
AC005301.1,1031487,A_24_P204269,122624,transmembrane phosphatase with tensin homology pseudogene 1,387590,22,-0.026565606488125053
AC005393.1,1057182,A_23_P78888,2076,fibrillarin,2091,19,-0.24690155138957642
AC005488.13,1013154,A_24_P925100,123475,"speedy homolog E8 (Xenopus laevis), pseudogene",389517,7,-0.11189325568571432
AC005512.1,1056328,A_32_P136295,2771,"guanine nucleotide binding protein (G protein), gamma 7",2788,19,0.1285724175923564
AC005551.1,1012047,CUST_8284_PI416261804,94300,chromosome 19 open reading frame 77,284422,19,-0.08176964588668485
AC005829.1,1022097,CUST_5348_PI416261804,166394,ADP-ribosylation factor-like 17B,100506084,17,-0.20746446363327362
AC005840.2,1019827,CUST_632_PI417507815,1003618,CD27 antisense RNA 1 (non-protein coding),678655,12,0.04055402790088581
AC005921.3,1043130,A_24_P920693,31227,LUC7-like 3 (S. cerevisiae),51747,17,-0.19949843179885637
AC006273.1,1038780,A_23_P67569,55750,lipid phosphate phosphatase-related protein type 3,79948,19,-0.547934031340522
AC007276.5,1012723,A_32_P73139,135463,dpy-19-like 2 pseudogene 3 (C. elegans),442524,7,0.13129079793822065
AC007405.8,1015786,A_32_P197340,94478,uncharacterized protein LOC285141,285141,2,-0.05193407002994399
AC007510.1,1031450,CUST_856_PI416379584,122929,shisa homolog 6 (Xenopus laevis),388336,17,0.09510321921344991
AC007601.1,1022563,A_32_P86578,152807,hCG1983896,642696,16,-0.13795791292071044
AC007688.2,1022158,A_32_P174572,60261,5-hydroxytryptamine (serotonin) receptor 7 pseudogene 1,93164,12,-0.3737843581862777
AC007743.1,1014736,CUST_265_PI417507815,1002199,uncharacterized LOC100129434,100129434,2,0.05025282666878127
AC007952.2,1011560,CUST_4079_PI416261804,55801,uncharacterized LOC79999,79999,17,-0.15673638307373491
AC008026.2,1012641,CUST_10605_PI416261804,80550,EF-hand calcium binding domain 3,146779,17,-0.025870597750103752
AC008073.1,1043222,A_23_P165402,31119,"splicing factor 3B, 14 kDa subunit",51639,2,-0.18568352955649214
AC008073.2,1021275,A_32_P140742,151076,"family with sequence similarity 228, member A",653140,2,-0.012032534252638378
AC008074.2,1044312,A_23_P210330,28830,"lectin, galactoside-binding-like",29094,2,0.11984806583873342
AC008429.1,1018636,CUST_11537_PI416261804,1001820,uncharacterized LOC100268168,100268168,5,0.10630170147064082
AC008449.1,1018609,CUST_749_PI416573500,1000047,"family with sequence similarity 196, member B",100131897,5,0.10130767078777002
AC008687.3,1053549,CUST_11268_PI416261804,4878,neurotrophin 4,4909,19,-0.005040570796726687
AC008735.3,1010578,CUST_1161_PI416379584,94247,scavenger receptor cysteine rich domain containing (5 domains),284297,19,-0.185772350776746
AC008806.1,1032427,CUST_2354_PI416261804,94313,"HKR1, GLI-Kruppel zinc finger family member",284459,19,0.024148765501254353
AC008875.1,1018699,A_24_P829181,152030,uncharacterized LOC648987,648987,5,-0.08785484342478025
AC008969.2,1019027,A_24_P135427,1002112,uncharacterized LOC100128398,100128398,19,-0.11158809614110367
AC009086.2,1061740,A_24_P213487,133532,"smg-1 homolog, phosphatidylinositol 3-kinase-related kinase (C. elegans) pseudogene",440354,16,-0.15016689327564067
AC009139.1,1016000,A_32_P71551,1000887,synaptonemal complex central element protein 1-like,100130958,16,-0.11043541152098288
AC009163.1,1017552,A_23_P359497,55386,transmembrane protein 231,79583,16,-0.17417337465014956
AC009171.1,1043866,A_23_P206830,30508,presequence translocase-associated motor 16 homolog (S. cerevisiae),51025,16,0.09961318255173265
AC009365.1,1032255,A_23_P428992,94758,uncharacterized FLJ40288,286023,7,-0.44609490061104956
AC009532.1,1010845,CUST_3626_PI416261804,1000310,MRVI1 antisense RNA 1 (non-protein coding),100129827,11,0.22261031042345159
AC010087.3,1010923,A_23_P56703,79369,TraB domain containing 2A,129293,2,-0.26968553105627724
AC010203.2,1041809,A_23_P13998,34881,golgin A2 pseudogene 5,55592,12,0.07367105404032752
AC010325.3,1016295,A_23_P405282,94272,uncharacterized LOC284365,284365,19,-0.08907929284308334
AC010332.1,1018964,A_24_P323967,125242,zinc finger protein 880,400713,19,-0.03689016856494952
AC010336.2,1018709,A_24_P147540,55965,putative uncharacterized protein FLJ22184,80164,19,-0.06059926103299038
AC010422.1,1017174,A_23_P39024,58502,WD repeat domain 83,84292,19,0.12561674918491106
AC010442.2,1011000,A_24_P419300,25594,uncharacterized LOC25845,25845,5,-0.2298214199343174
AC010606.4,1021520,CUST_4237_PI416261804,158772,methyl-CpG binding domain protein 3-like 3,653657,19,0.015327792899074046
AC010624.2,1016310,A_32_P215100,125240,FLJ26850 protein,400710,19,-0.1496578762937575
AC010645.1,1038915,CUST_4754_PI416261804,55621,zinc finger protein 552,79818,19,-0.11788551289770223
AC010896.1,1037034,A_24_P940803,59620,ethanolaminephosphotransferase 1 (CDP-ethanolamine-specific),85465,2,-0.11264882456587932
AC010974.2,1031197,A_24_P298224,110103,NCK-associated protein 5,344148,2,-0.11502567701439591
AC010980.2,1020951,A_24_P221745,134063,uncharacterized LOC440934,440934,2,-0.4850601759425635
AC010982.1,1012392,CUST_2630_PI416261804,134033,uncharacterized LOC440900,440900,2,0.03653386327122573
AC011427.1,1034262,CUST_10763_PI416261804,81114,"solute carrier family 25, member 48",153328,5,-0.20149001317502963
AC011443.1,1031299,CUST_15537_PI416261804,124061,iron/zinc purple acid phosphatase-like protein,390928,19,-0.005169532944983789
AC011472.2,1041430,A_23_P130677,35195,chromosome 19 open reading frame 80,55908,19,0.44468160893249925
AC011479.2,1047116,A_23_P27795,10506,"serine peptidase inhibitor, Kunitz type, 2",10653,19,-0.21255721876679873
AC011498.2,1028699,A_23_P39251,133671,perilipin 5,440503,19,-0.3700428205671515
AC011498.3,1037395,CUST_620_PI416261804,58913,hepatoma-derived growth factor-related protein 2,84717,19,-0.0452374764886663
AC011511.1,1010395,CUST_924_PI416379584,1000068,"zinc finger, GATA-like protein 1",100125288,19,0.2665621877625671
AC011530.1,1038364,A_23_P67411,57202,radial spoke head 6 homolog A (Chlamydomonas),81492,19,0.015461062292507141
AC012100.1,1037285,CUST_2391_PI416261804,59078,signal peptide peptidase like 2A,84888,15,-0.06198796695758631
AC012621.2,1048206,A_24_P373286,9594,centriolar coiled coil protein 110kDa,9738,16,-0.043684834540244945
AC012652.1,1046393,A_23_P112801,11100,calcineurin-like EF hand protein 1,11261,15,-0.109878326611422
AC013271.3,1016915,A_24_P527716,134029,two pore channel 3 pseudogene,440895,2,-0.11272253766345781
AC013283.1,1028233,A_23_P53467,78843,IKBKB interacting protein,121457,12,-0.4298958943067755
AC013356.1,1017459,CUST_1081_PI416573500,151701,proline/histidine/glycine-rich 1,644844,15,-0.18467170721851953
AC013356.3,1015183,CUST_11359_PI416261804,133634,uncharacterized LOC440465,440465,17,-0.04753909793746863
AC013402.2,1017902,A_24_P709476,80904,uncharacterized LOC150568,150568,2,0.5690520542025038
AC013553.2,1010308,CUST_95_PI416379584,123939,kelch repeat and BTB (POZ) domain containing 13,390594,15,-0.1175102998977308
AC015871.2,1012974,CUST_5228_PI416261804,94049,chromosome 15 open reading frame 37,283687,15,-0.08465539339925943
AC015936.3,1046873,A_23_P77993,10724,"complement component 1, q subcomponent-like 1",10882,17,-0.3894601332670461
AC016525.1,1016223,A_32_P8813,94039,uncharacterized LOC283663,283663,15,-0.02394471399236164
AC016629.3,1020267,A_23_P400181,41839,CENPB DNA-binding domains containing 1 pseudogene,65996,19,0.20371030783153513
AC016683.6,1017069,A_24_P709377,1001793,uncharacterized LOC654433,654433,2,0.1299781312774709
AC016747.3,1018366,A_32_P49728,109738,uncharacterized LOC339803,339803,2,-0.22633624867345897
AC016757.1,1017263,A_24_P469746,80954,uncharacterized LOC151174,151174,2,0.22666550215374642
AC017096.1,1063432,A_23_P343865,80901,SATB2 antisense RNA 1 (non-protein coding),150538,2,0.41560447037085085
AC017099.3,1015906,A_24_P456723,170404,uncharacterized LOC728537,728537,2,-0.014300790767501117
AC018865.8,1015956,A_24_P28811,134038,uncharacterized LOC440905,440905,2,-0.017264525306474675
AC019171.4,1010492,CUST_1104_PI416379584,1000112,Rho guanine nucleotide exchange factor (GEF) 33,100271715,2,0.1561672675716529
AC020663.1,1037465,A_32_P743407,58854,glyoxylate reductase 1 homolog (Arabidopsis),84656,16,-0.041575359235905475
AC021054.1,1017782,A_23_P431569,1001883,uncharacterized LOC100049716,100049716,12,-0.18908765323307006
AC021148.2,1017485,A_23_P41267,125473,WD repeat domain 5 pseudogene,401127,4,-0.07972746288028895
AC021534.2,1019865,A_24_P142343,80543,"RNA binding protein, fox-1 homolog (C. elegans) 3",146713,17,0.5591620560069015
AC021850.1,1032313,A_23_P70827,94591,uncharacterized LOC285501,285501,4,-0.2506986037404825
AC021860.1,1015759,A_23_P30163,55470,uncharacterized FLJ13197,79667,4,0.09911437391200287
AC022098.1,1016490,A_32_P52330,76651,uncharacterized LOC113230,113230,19,-0.07459327030562567
AC022098.3,1019025,A_32_P198177,110032,paralemmin 3,342979,19,-0.05373100520766885
AC022100.1,1031372,A_32_P222695,123404,Rho guanine nucleotide exchange factor (GEF) 37,389337,5,-0.046376226337945047
AC022311.1,1021295,CUST_26_PI417507815,171285,uncharacterized LOC727982,727982,2,0.22151207705962175
AC022498.2,1013337,CUST_8424_PI416261804,125457,uncharacterized LOC401105,401105,3,-0.03250184847011138
AC022596.6,1014233,A_32_P58796,81551,ubiquitin specific peptidase 32 pseudogene 1,162632,17,-0.350337114259233
AC022748.1,1011434,CUST_337_PI417507815,165042,"TBC1 domain family, member 2B pseudogene",646938,15,-0.012890562769056023
AC023024.1,1041528,A_23_P26084,35117,VCP-interacting membrane protein,55829,15,-0.13995512033920549
AC023055.2,1018508,A_24_P596027,133322,"transmembrane protein 198B, pseudogene",440104,12,-0.18118703235946654
AC024270.1,1043959,A_23_P344451,30297,"hepatoma-derived growth factor, related protein 3",50810,15,-0.23256898168233908
AC024560.3,1018672,A_32_P227845,85666,"succinate dehydrogenase complex, subunit A, flavoprotein (Fp) pseudogene",220729,3,0.26450235817508805
AC024575.2,1039767,A_23_P153461,41323,lipid phosphate phosphatase-related protein type 2,64748,19,-0.5685869614623997
AC024575.3,1017527,A_24_P75920,79105,coiled-coil domain containing 159,126075,19,-0.13929226028878797
AC025627.16,1021619,CUST_8793_PI416261804,94207,"lectin, galactoside-binding, soluble, 9B",284194,17,-0.15064452816649543
AC025647.1,1052878,A_23_P157452,5408,"polymerase (RNA) II (DNA directed) polypeptide K, 7.0kDa",5440,8,-0.031313588644699984
AC026369.2,1011313,CUST_4229_PI416261804,124065,uncharacterized protein ENSP00000244321,390940,19,-0.37787382183186635
AC027323.1,1022927,A_32_P86400,77730,"LysM, putative peptidoglycan-binding, domain containing 3",116068,5,-0.02201278076560841
AC034193.5,1016699,A_23_P384698,135059,uncharacterized LOC442075,442075,3,-0.019044565168580496
AC034199.2,1016275,A_24_P922631,79577,chromosome 5 open reading frame 58,133874,5,0.015683189315020152
AC044839.2,1015631,A_32_P189790,119464,uncharacterized DKFZp779M0652,374387,11,-0.6626814998980611
AC055839.1,1046248,A_23_P89550,22617,"NLR family, pyrin domain containing 1",22861,17,-0.0030720778188050254
AC058791.2,1015614,CUST_7192_PI416261804,119765,uncharacterized LOC378805,378805,7,-0.11959964577198288
AC062028.1,1032383,CUST_9706_PI416261804,94482,uncharacterized LOC285150,285150,2,-0.014791718257271378
AC063965.2,1010505,CUST_741_PI416379584,1000118,"killin, p53-regulated DNA replication inhibitor",100144748,10,0.13998812579646813
AC063977.1,1034609,CUST_1380_PI416573500,80617,V-set and immunoglobulin domain containing 10 like,147645,19,-0.05244151862206701
AC068020.3,1011801,A_24_P290013,94762,"family with sequence similarity 86, member A pseudogene",286042,8,-0.2146552095540386
AC068353.1,1015934,A_23_P250212,81278,homolog of rat pragma of Rnd2,157285,8,0.5210677624417814
AC068385.1,1016442,CUST_59_PI416573500,80326,chromosome 11 open reading frame 94,143678,11,-0.10834405798002672
AC068491.1,1015603,CUST_8367_PI416261804,151961,uncharacterized LOC541471,541471,2,-0.3649040347244579
AC068580.3,1070364,A_23_P75362,126202,interferon induced transmembrane protein 10,402778,11,0.4197777625489212
AC068989.2,1041802,A_23_P41470,34890,DEAD (Asp-Glu-Ala-Asp) box polypeptide 60,55601,4,-0.09514910747495023
AC069029.1,1017252,A_32_P3534,80468,pyroglutamyl-peptidase I-like,145814,15,-0.1399831010842013
AC069154.2,1024825,CUST_4797_PI416261804,83562,primary ciliary dyskinesia protein 1,200373,2,0.04460472934827563
AC069234.1,1035807,A_23_P162559,78857,signal peptide peptidase like 3,121665,12,-0.475052164109999
AC073043.2,1011278,A_32_P105083,110402,uncharacterized LOC348751,348751,2,-0.0306493412026652
AC073135.1,1019251,A_24_P211894,110411,"ankyrin repeat domain 18D, pseudogene",348840,3,0.14114650432311823
AC073343.8,1011069,A_32_P6408,34042,zinc finger protein 853,54753,7,0.13233825239020602
AC073346.1,1011219,A_32_P54305,125609,uncharacterized LOC401397,401397,7,-0.4038916623876933
AC073548.1,1067573,A_23_P57480,34233,uncharacterized protein FLJ20464,54944,22,0.06028443092756112
AC074286.1,1016411,A_24_P400172,1002387,uncharacterized LOC100130691,100130691,2,-0.02584543206415617
AC078802.1,1037556,A_23_P121447,58718,actin-related protein T3,84517,3,0.030678609558608252
AC078937.4,1011393,CUST_3231_PI416261804,94754,SLC26A4 antisense RNA 1 (non-protein coding),286002,7,-0.45579880720035143
AC079061.1,1016731,A_23_P134734,34927,syntabulin (syntaxin-interacting),55638,8,0.12840223068781773
AC079341.1,1016188,A_24_P238118,1001516,uncharacterized LOC100192379,100192379,4,0.3807338910511509
AC079776.2,1010296,CUST_10662_PI416261804,123242,placenta-specific 9 pseudogene,389033,2,-0.49204404596271295
AC079953.2,1035811,A_23_P409093,78854,anoctamin 4,121601,12,0.03187204043624786
AC084018.1,1022137,A_23_P116743,109578,uncharacterized LOC338799,338799,12,0.09988279270335061
AC084125.1,1030881,A_23_P424878,56502,Rho GTPase activating protein 39,80728,8,0.42745122773362865
AC084209.1,1014773,CUST_11594_PI416261804,94581,RPL34 antisense RNA 1 (non-protein coding),285456,4,-0.11635350640608821
AC084851.1,1032639,CUST_3622_PI416261804,93849,tripartite motif containing 49B,283116,11,-0.1913437497373496
AC087392.3,1017736,A_23_P351535,1001816,"diazepam binding inhibitor-like 5, pseudogene",100131454,17,0.10201823229348199
AC087645.1,1010551,CUST_1107_PI416379584,94139,transmembrane protein 235,283999,17,-0.06941482005619196
AC087742.2,1050499,A_24_P296520,7283,ubiquitin-conjugating enzyme E2G 1,7326,17,0.1965082767603064
