gene_symbol,probe_id,probe_name,gene_id,gene_name,entrez_id,chromosome,sst_cor
ABCC1,1027720,CUST_15965_PI416261804,4337,"ATP-binding cassette, sub-family C (CFTR/MRP), member 1",4363,16,-0.26372021373576937
ABCC10,1036986,A_23_P219013,59781,"ATP-binding cassette, sub-family C (CFTR/MRP), member 10",89845,6,-0.010102750393572654
ABCC12,1036408,CUST_1694_PI416261804,60804,"ATP-binding cassette, sub-family C (CFTR/MRP), member 12",94160,16,0.09555228122008778
ABCC3,1049392,A_23_P207507,8643,"ATP-binding cassette, sub-family C (CFTR/MRP), member 3",8714,17,-0.17755036027371182
ABCC4,1018189,A_24_P16913,10111,"ATP-binding cassette, sub-family C (CFTR/MRP), member 4",10257,13,0.2291908593695094
ABCC5,1047877,A_23_P258221,9912,"ATP-binding cassette, sub-family C (CFTR/MRP), member 5",10057,3,-0.07313987711698357
ABCC6,1015764,A_23_P15272,365,"ATP-binding cassette, sub-family C (CFTR/MRP), member 6",368,16,0.34472410888497057
ABCC8,1051026,A_23_P24774,6793,"ATP-binding cassette, sub-family C (CFTR/MRP), member 8",6833,11,-0.3062835424899329
ABCC9,1025070,A_24_P178503,9915,"ATP-binding cassette, sub-family C (CFTR/MRP), member 9",10060,12,0.008415419796601093
ABCD1,1059279,A_23_P148556,212,"ATP-binding cassette, sub-family D (ALD), member 1",215,X,0.08156396874399653
ABCD2,1059261,CUST_16263_PI416261804,222,"ATP-binding cassette, sub-family D (ALD), member 2",225,12,-0.41611581675729187
ABCD3,1011381,CUST_16301_PI416261804,5793,"ATP-binding cassette, sub-family D (ALD), member 3",5825,1,-0.11929124235323077
ABCD4,1018494,A_23_P37327,5794,"ATP-binding cassette, sub-family D (ALD), member 4",5826,14,-0.073178675450376
ABCE1,1020886,A_23_P41380,6027,"ATP-binding cassette, sub-family E (OABP), member 1",6059,4,-0.1115483648244279
ABCF1,1059485,A_23_P251660,20,"ATP-binding cassette, sub-family F (GCN20), member 1",23,6,0.15803261509679298
ABCF2,1024084,A_23_P215175,9916,"ATP-binding cassette, sub-family F (GCN20), member 2",10061,7,0.024994742882346224
ABCF3,1041989,A_24_P251688,34613,"ATP-binding cassette, sub-family F (GCN20), member 3",55324,3,0.22350339115235326
ABCG1,1028929,A_23_P166297,9475,"ATP-binding cassette, sub-family G (WHITE), member 1",9619,21,-0.20905884663173926
ABCG2,1048598,A_23_P18713,9293,"ATP-binding cassette, sub-family G (WHITE), member 2",9429,4,-0.16360235430027817
ABCG4,1015836,A_24_P355626,40770,"ATP-binding cassette, sub-family G (WHITE), member 4",64137,11,-0.19218057093156748
ABCG5,1039920,A_23_P119763,40871,"ATP-binding cassette, sub-family G (WHITE), member 5",64240,2,0.25103359785766843
ABCG8,1039919,CUST_16054_PI416261804,40872,"ATP-binding cassette, sub-family G (WHITE), member 8",64241,2,-0.027264695093934376
ABHD1,1037409,A_23_P17242,58894,abhydrolase domain containing 1,84696,2,0.3738093729534907
ABHD10,1041937,A_23_P92213,34636,abhydrolase domain containing 10,55347,3,0.2440918075057937
ABHD11,1023804,A_23_P315933,57695,abhydrolase domain containing 11,83451,7,-0.12031960930478174
ABHD12,1045049,A_23_P367026,25839,abhydrolase domain containing 12,26090,20,-0.06173076938294865
ABHD12B,1024791,CUST_7223_PI416261804,80438,abhydrolase domain containing 12B,145447,14,0.2763106378835615
ABHD13,1037200,A_23_P205027,59135,abhydrolase domain containing 13,84945,13,-0.07340716252280914
ABHD14A,1045270,A_23_P69267,25613,abhydrolase domain containing 14A,25864,3,0.11006049236140587
ABHD14B,1018860,A_23_P155417,59026,abhydrolase domain containing 14B,84836,3,0.1464939016430406
ABHD15,1070242,A_23_P363034,77755,abhydrolase domain containing 15,116236,17,0.12604551898693295
ABHD2,1015263,A_32_P58999,10899,abhydrolase domain containing 2,11057,15,0.21884033144284773
ABHD3,1033647,A_23_P305759,82725,abhydrolase domain containing 3,171586,18,-0.08032993290752004
ABHD4,1040141,A_23_P205519,40517,abhydrolase domain containing 4,63874,14,0.11328505552503884
ABHD5,1043771,A_23_P250294,30581,abhydrolase domain containing 5,51099,3,-0.07750331229541484
ABHD6,1040691,A_23_P211850,36680,abhydrolase domain containing 6,57406,3,-0.17080494070018398
ABHD8,1039214,A_23_P50857,55378,abhydrolase domain containing 8,79575,19,0.05518011990361616
ABI1,1030126,A_23_P126992,9862,abl-interactor 1,10006,10,0.28181903938519665
ABI2,1047770,A_23_P79692,10007,abl-interactor 2,10152,2,0.014674073972581612
ABI3,1043626,A_23_P141429,30707,"ABI family, member 3",51225,17,0.060732269466450446
ABI3BP,1045248,CUST_15613_PI416261804,25639,"ABI family, member 3 (NESH) binding protein",25890,3,0.1487139659824199
ABL1,1059478,A_23_P60180,22,"c-abl oncogene 1, non-receptor tyrosine kinase",25,9,0.12675225538221063
ABL2,1011338,A_32_P139894,24,v-abl Abelson murine leukemia viral oncogene homolog 2,27,1,-0.05442261915552351
ABLIM1,1027347,A_23_P202520,3958,actin binding LIM protein 1,3983,10,0.09548929471283898
ABLIM2,1037585,A_23_P255672,58649,"actin binding LIM protein family, member 2",84448,4,-0.22329207879614635
ABLIM3,1046215,A_23_P256205,22641,"actin binding LIM protein family, member 3",22885,5,0.40741096850017694
ABO,1059475,CUST_15272_PI416261804,25,"ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)",28,9,-0.12212476522375185
ABR,1059473,A_23_P503182,26,active BCR-related,29,17,0.22489963794922158
ABT1,1044249,CUST_2114_PI416261804,29512,activator of basal transcription 1,29777,6,0.09177321852598098
ABTB1,1026256,A_23_P109643,56126,ankyrin repeat and BTB (POZ) domain containing 1,80325,3,-0.22648699682995296
ABTB2,1045285,A_23_P356616,25590,ankyrin repeat and BTB (POZ) domain containing 2,25841,11,-0.2913327828406069
AC002351.1,1015630,A_32_P211253,1002460,uncharacterized LOC100131138,100131138,12,-0.1788570339993729
AC002472.8,1019207,A_24_P259154,76680,"tubulin, alpha 3f, pseudogene",113691,22,0.016980197727706734
AC002472.9,1014716,CUST_11615_PI416261804,133153,THAP7 antisense RNA 1 (non-protein coding),439931,22,0.10506431920914247
AC002511.1,1056217,A_23_P56239,2848,free fatty acid receptor 3,2865,19,-0.06733280133873135
AC002563.2,1018725,CUST_830_PI416573500,122758,transmembrane protein 233,387890,12,0.3703807609253824
AC004053.1,1036458,A_23_P133075,60300,TBC1 domain containing kinase,93627,4,-0.008403197273772438
AC004241.1,1049171,A_24_P347310,8830,"endonuclease, polyU-specific",8909,12,0.20051639435953636
AC004381.2,1018319,A_23_P49459,57373,exonuclease NEF-sp,81691,16,0.24490033895019747
AC004409.1,1019024,CUST_745_PI416573500,110266,coiled-coil domain containing 160,347475,X,-0.03223026081026617
AC004690.2,1018953,A_24_P695306,180757,transmembrane protein 229A,730130,7,-0.20147645894076602
AC004863.6,1065986,A_32_P102750,81208,uncharacterized LOC154822,154822,7,0.23942939167308055
AC004980.7,1070145,A_32_P219963,1011221,uncharacterized LOC100133091,100133091,7,-0.09110707366605993
AC005014.1,1018435,A_32_P222149,1000033,leucine rich repeat containing 72,100506049,7,0.008732822462641213
AC005041.9,1015562,A_24_P772436,1001907,DCTN1 antisense RNA 1 (non-protein coding),100189589,2,-0.20626089646270085
AC005077.3,1014963,CUST_3274_PI416261804,85839,serine/arginine repetitive matrix 3,222183,7,-0.010452253101973558
AC005152.2,1021127,A_24_P497464,125184,uncharacterized LOC400618,400618,17,0.38454005627770566
AC005277.1,1048040,A_23_P26854,9768,Rho GTPase activating protein 44,9912,17,-0.09702657442393037
AC005301.1,1031487,A_24_P204269,122624,transmembrane phosphatase with tensin homology pseudogene 1,387590,22,0.08130154884601928
AC005393.1,1057182,A_23_P78888,2076,fibrillarin,2091,19,0.3154274093542499
AC005488.13,1013154,A_24_P925100,123475,"speedy homolog E8 (Xenopus laevis), pseudogene",389517,7,-0.1265309026615859
AC005512.1,1056328,A_32_P136295,2771,"guanine nucleotide binding protein (G protein), gamma 7",2788,19,-0.13068408280895813
AC005551.1,1012047,CUST_8284_PI416261804,94300,chromosome 19 open reading frame 77,284422,19,0.055730987824904134
AC005829.1,1022097,CUST_5348_PI416261804,166394,ADP-ribosylation factor-like 17B,100506084,17,-6.472184159156143e-4
AC005840.2,1019827,CUST_632_PI417507815,1003618,CD27 antisense RNA 1 (non-protein coding),678655,12,-0.1293230111447102
AC005921.3,1043130,A_24_P920693,31227,LUC7-like 3 (S. cerevisiae),51747,17,-0.007939567089852861
AC006273.1,1038780,A_23_P67569,55750,lipid phosphate phosphatase-related protein type 3,79948,19,0.6279007382456496
AC007276.5,1012723,A_32_P73139,135463,dpy-19-like 2 pseudogene 3 (C. elegans),442524,7,-0.07431297111436205
AC007405.8,1015786,A_32_P197340,94478,uncharacterized protein LOC285141,285141,2,0.40142888019837486
AC007510.1,1031450,CUST_856_PI416379584,122929,shisa homolog 6 (Xenopus laevis),388336,17,0.020396681794187712
AC007601.1,1022563,A_32_P86578,152807,hCG1983896,642696,16,0.34826052913117916
AC007688.2,1022158,A_32_P174572,60261,5-hydroxytryptamine (serotonin) receptor 7 pseudogene 1,93164,12,0.5487214562651556
AC007743.1,1014736,CUST_265_PI417507815,1002199,uncharacterized LOC100129434,100129434,2,0.014212681235815396
AC007952.2,1011560,CUST_4079_PI416261804,55801,uncharacterized LOC79999,79999,17,-0.1420292446208618
AC008026.2,1012641,CUST_10605_PI416261804,80550,EF-hand calcium binding domain 3,146779,17,0.026340892295815262
AC008073.1,1043222,A_23_P165402,31119,"splicing factor 3B, 14 kDa subunit",51639,2,0.3969025025419364
AC008073.2,1021275,A_32_P140742,151076,"family with sequence similarity 228, member A",653140,2,0.054186502480823434
AC008074.2,1044312,A_23_P210330,28830,"lectin, galactoside-binding-like",29094,2,0.1784186596885667
AC008429.1,1018636,CUST_11537_PI416261804,1001820,uncharacterized LOC100268168,100268168,5,0.2510544288634955
AC008449.1,1018609,CUST_749_PI416573500,1000047,"family with sequence similarity 196, member B",100131897,5,-0.21120915266560103
AC008687.3,1053549,CUST_11268_PI416261804,4878,neurotrophin 4,4909,19,-0.12158837413651326
AC008735.3,1010578,CUST_1161_PI416379584,94247,scavenger receptor cysteine rich domain containing (5 domains),284297,19,0.24378075395769425
AC008806.1,1032427,CUST_2354_PI416261804,94313,"HKR1, GLI-Kruppel zinc finger family member",284459,19,-0.29329894668875595
AC008875.1,1018699,A_24_P829181,152030,uncharacterized LOC648987,648987,5,-0.004456961487000716
AC008969.2,1019027,A_24_P135427,1002112,uncharacterized LOC100128398,100128398,19,-0.16604078411885667
AC009086.2,1061740,A_24_P213487,133532,"smg-1 homolog, phosphatidylinositol 3-kinase-related kinase (C. elegans) pseudogene",440354,16,-0.245306908179021
AC009139.1,1016000,A_32_P71551,1000887,synaptonemal complex central element protein 1-like,100130958,16,-0.04173400382085895
AC009163.1,1017552,A_23_P359497,55386,transmembrane protein 231,79583,16,0.1926625497945752
AC009171.1,1043866,A_23_P206830,30508,presequence translocase-associated motor 16 homolog (S. cerevisiae),51025,16,0.31224779398581004
AC009365.1,1032255,A_23_P428992,94758,uncharacterized FLJ40288,286023,7,0.5235847096256995
AC009532.1,1010845,CUST_3626_PI416261804,1000310,MRVI1 antisense RNA 1 (non-protein coding),100129827,11,0.047546557285459645
AC010087.3,1010923,A_23_P56703,79369,TraB domain containing 2A,129293,2,0.2550400421227623
AC010203.2,1041809,A_23_P13998,34881,golgin A2 pseudogene 5,55592,12,-0.17846009305090027
AC010325.3,1016295,A_23_P405282,94272,uncharacterized LOC284365,284365,19,-0.11797440897110134
AC010332.1,1018964,A_24_P323967,125242,zinc finger protein 880,400713,19,-0.17543646229490412
AC010336.2,1018709,A_24_P147540,55965,putative uncharacterized protein FLJ22184,80164,19,0.016908992831496505
AC010422.1,1017174,A_23_P39024,58502,WD repeat domain 83,84292,19,0.25901991658122187
AC010442.2,1011000,A_24_P419300,25594,uncharacterized LOC25845,25845,5,0.229058381873124
AC010606.4,1021520,CUST_4237_PI416261804,158772,methyl-CpG binding domain protein 3-like 3,653657,19,-0.0674049159735447
AC010624.2,1016310,A_32_P215100,125240,FLJ26850 protein,400710,19,0.2828311834160938
AC010645.1,1038915,CUST_4754_PI416261804,55621,zinc finger protein 552,79818,19,-0.10665389226600255
AC010896.1,1037034,A_24_P940803,59620,ethanolaminephosphotransferase 1 (CDP-ethanolamine-specific),85465,2,0.16192538445987972
AC010974.2,1031197,A_24_P298224,110103,NCK-associated protein 5,344148,2,-0.06600631633593199
AC010980.2,1020951,A_24_P221745,134063,uncharacterized LOC440934,440934,2,0.48450512951943336
AC010982.1,1012392,CUST_2630_PI416261804,134033,uncharacterized LOC440900,440900,2,-0.1561430120747732
AC011427.1,1034262,CUST_10763_PI416261804,81114,"solute carrier family 25, member 48",153328,5,0.18917280860523186
AC011443.1,1031299,CUST_15537_PI416261804,124061,iron/zinc purple acid phosphatase-like protein,390928,19,-0.11972533954080496
AC011472.2,1041430,A_23_P130677,35195,chromosome 19 open reading frame 80,55908,19,-0.0907072773508963
AC011479.2,1047116,A_23_P27795,10506,"serine peptidase inhibitor, Kunitz type, 2",10653,19,0.5074282515117045
AC011498.2,1028699,A_23_P39251,133671,perilipin 5,440503,19,0.2883014139206435
AC011498.3,1037395,CUST_620_PI416261804,58913,hepatoma-derived growth factor-related protein 2,84717,19,0.03326352432939103
AC011511.1,1010395,CUST_924_PI416379584,1000068,"zinc finger, GATA-like protein 1",100125288,19,-0.10003525310948583
AC011530.1,1038364,A_23_P67411,57202,radial spoke head 6 homolog A (Chlamydomonas),81492,19,-0.15610224760969346
AC012100.1,1037285,CUST_2391_PI416261804,59078,signal peptide peptidase like 2A,84888,15,-0.03891194699043372
AC012621.2,1048206,A_24_P373286,9594,centriolar coiled coil protein 110kDa,9738,16,-0.11059348495589054
AC012652.1,1046393,A_23_P112801,11100,calcineurin-like EF hand protein 1,11261,15,0.3592984484281316
AC013271.3,1016915,A_24_P527716,134029,two pore channel 3 pseudogene,440895,2,0.11598695579046361
AC013283.1,1028233,A_23_P53467,78843,IKBKB interacting protein,121457,12,0.30789863926006505
AC013356.1,1017459,CUST_1081_PI416573500,151701,proline/histidine/glycine-rich 1,644844,15,0.10278614502657978
AC013356.3,1015183,CUST_11359_PI416261804,133634,uncharacterized LOC440465,440465,17,-0.055184811695868065
AC013402.2,1017902,A_24_P709476,80904,uncharacterized LOC150568,150568,2,-0.4624758777151594
AC013553.2,1010308,CUST_95_PI416379584,123939,kelch repeat and BTB (POZ) domain containing 13,390594,15,-0.11801057878128911
AC015871.2,1012974,CUST_5228_PI416261804,94049,chromosome 15 open reading frame 37,283687,15,0.41856994251709406
AC015936.3,1046873,A_23_P77993,10724,"complement component 1, q subcomponent-like 1",10882,17,0.5901482181487508
AC016525.1,1016223,A_32_P8813,94039,uncharacterized LOC283663,283663,15,0.08932390921141528
AC016629.3,1020267,A_23_P400181,41839,CENPB DNA-binding domains containing 1 pseudogene,65996,19,0.024454279731635543
AC016683.6,1017069,A_24_P709377,1001793,uncharacterized LOC654433,654433,2,-0.11485211935436912
AC016747.3,1018366,A_32_P49728,109738,uncharacterized LOC339803,339803,2,0.2386845798741481
AC016757.1,1017263,A_24_P469746,80954,uncharacterized LOC151174,151174,2,-0.04900274664300431
AC017096.1,1063432,A_23_P343865,80901,SATB2 antisense RNA 1 (non-protein coding),150538,2,-0.03919002965151066
AC017099.3,1015906,A_24_P456723,170404,uncharacterized LOC728537,728537,2,-0.07095458623446041
AC018865.8,1015956,A_24_P28811,134038,uncharacterized LOC440905,440905,2,-0.040684658489935646
AC019171.4,1010492,CUST_1104_PI416379584,1000112,Rho guanine nucleotide exchange factor (GEF) 33,100271715,2,0.07752323214174348
AC020663.1,1037465,A_32_P743407,58854,glyoxylate reductase 1 homolog (Arabidopsis),84656,16,0.0502352134299012
AC021054.1,1017782,A_23_P431569,1001883,uncharacterized LOC100049716,100049716,12,0.3078344807904736
AC021148.2,1017485,A_23_P41267,125473,WD repeat domain 5 pseudogene,401127,4,0.13983339750152657
AC021534.2,1019865,A_24_P142343,80543,"RNA binding protein, fox-1 homolog (C. elegans) 3",146713,17,-0.18532113805224418
AC021850.1,1032313,A_23_P70827,94591,uncharacterized LOC285501,285501,4,0.10176035221280727
AC021860.1,1015759,A_23_P30163,55470,uncharacterized FLJ13197,79667,4,-0.08908984513367768
AC022098.1,1016490,A_32_P52330,76651,uncharacterized LOC113230,113230,19,-0.07431476026066906
AC022098.3,1019025,A_32_P198177,110032,paralemmin 3,342979,19,0.18481391725612117
AC022100.1,1031372,A_32_P222695,123404,Rho guanine nucleotide exchange factor (GEF) 37,389337,5,-0.023014074456950175
AC022311.1,1021295,CUST_26_PI417507815,171285,uncharacterized LOC727982,727982,2,-0.30176582496115534
AC022498.2,1013337,CUST_8424_PI416261804,125457,uncharacterized LOC401105,401105,3,-0.06852843993316247
AC022596.6,1014233,A_32_P58796,81551,ubiquitin specific peptidase 32 pseudogene 1,162632,17,-0.09815320859764982
AC022748.1,1011434,CUST_337_PI417507815,165042,"TBC1 domain family, member 2B pseudogene",646938,15,-0.04456142442996642
AC023024.1,1041528,A_23_P26084,35117,VCP-interacting membrane protein,55829,15,0.20803763319159183
AC023055.2,1018508,A_24_P596027,133322,"transmembrane protein 198B, pseudogene",440104,12,0.14599096518844346
AC024270.1,1043959,A_23_P344451,30297,"hepatoma-derived growth factor, related protein 3",50810,15,0.27010261237173594
AC024560.3,1018672,A_32_P227845,85666,"succinate dehydrogenase complex, subunit A, flavoprotein (Fp) pseudogene",220729,3,-0.3185923089027212
AC024575.2,1039767,A_23_P153461,41323,lipid phosphate phosphatase-related protein type 2,64748,19,0.5657152904952655
AC024575.3,1017527,A_24_P75920,79105,coiled-coil domain containing 159,126075,19,0.13175094500226048
AC025627.16,1021619,CUST_8793_PI416261804,94207,"lectin, galactoside-binding, soluble, 9B",284194,17,0.09014295591512697
AC025647.1,1052878,A_23_P157452,5408,"polymerase (RNA) II (DNA directed) polypeptide K, 7.0kDa",5440,8,0.3536403259936614
AC026369.2,1011313,CUST_4229_PI416261804,124065,uncharacterized protein ENSP00000244321,390940,19,0.12072753297803757
AC027323.1,1022927,A_32_P86400,77730,"LysM, putative peptidoglycan-binding, domain containing 3",116068,5,0.06120783339961032
AC034193.5,1016699,A_23_P384698,135059,uncharacterized LOC442075,442075,3,-0.1487456491422733
AC034199.2,1016275,A_24_P922631,79577,chromosome 5 open reading frame 58,133874,5,-0.07397113435263626
AC044839.2,1015631,A_32_P189790,119464,uncharacterized DKFZp779M0652,374387,11,0.6911203173207051
AC055839.1,1046248,A_23_P89550,22617,"NLR family, pyrin domain containing 1",22861,17,0.047595203972841484
AC058791.2,1015614,CUST_7192_PI416261804,119765,uncharacterized LOC378805,378805,7,0.2818001967193559
AC062028.1,1032383,CUST_9706_PI416261804,94482,uncharacterized LOC285150,285150,2,-0.16222144279969983
AC063965.2,1010505,CUST_741_PI416379584,1000118,"killin, p53-regulated DNA replication inhibitor",100144748,10,0.2024852746062611
AC063977.1,1034609,CUST_1380_PI416573500,80617,V-set and immunoglobulin domain containing 10 like,147645,19,-0.0416667941843807
AC068020.3,1011801,A_24_P290013,94762,"family with sequence similarity 86, member A pseudogene",286042,8,0.3273621569130461
AC068353.1,1015934,A_23_P250212,81278,homolog of rat pragma of Rnd2,157285,8,-0.3733157181916127
AC068385.1,1016442,CUST_59_PI416573500,80326,chromosome 11 open reading frame 94,143678,11,-0.12703040400149218
AC068491.1,1015603,CUST_8367_PI416261804,151961,uncharacterized LOC541471,541471,2,0.2457658867683577
AC068580.3,1070364,A_23_P75362,126202,interferon induced transmembrane protein 10,402778,11,0.04340614993561373
AC068989.2,1041802,A_23_P41470,34890,DEAD (Asp-Glu-Ala-Asp) box polypeptide 60,55601,4,0.0376215390058171
AC069029.1,1017252,A_32_P3534,80468,pyroglutamyl-peptidase I-like,145814,15,0.08037357988562228
AC069154.2,1024825,CUST_4797_PI416261804,83562,primary ciliary dyskinesia protein 1,200373,2,-0.17814281410378113
AC069234.1,1035807,A_23_P162559,78857,signal peptide peptidase like 3,121665,12,0.6065234418176059
AC073043.2,1011278,A_32_P105083,110402,uncharacterized LOC348751,348751,2,-0.009923875326650245
AC073135.1,1019251,A_24_P211894,110411,"ankyrin repeat domain 18D, pseudogene",348840,3,-0.2012979454728886
AC073343.8,1011069,A_32_P6408,34042,zinc finger protein 853,54753,7,-0.04144987656806621
AC073346.1,1011219,A_32_P54305,125609,uncharacterized LOC401397,401397,7,0.32254434718351066
AC073548.1,1067573,A_23_P57480,34233,uncharacterized protein FLJ20464,54944,22,0.05890008934536462
AC074286.1,1016411,A_24_P400172,1002387,uncharacterized LOC100130691,100130691,2,0.029066496521595965
AC078802.1,1037556,A_23_P121447,58718,actin-related protein T3,84517,3,0.10629114259421261
AC078937.4,1011393,CUST_3231_PI416261804,94754,SLC26A4 antisense RNA 1 (non-protein coding),286002,7,0.5619147155193298
AC079061.1,1016731,A_23_P134734,34927,syntabulin (syntaxin-interacting),55638,8,-0.013789312776818233
AC079341.1,1016188,A_24_P238118,1001516,uncharacterized LOC100192379,100192379,4,0.070239419452169
AC079776.2,1010296,CUST_10662_PI416261804,123242,placenta-specific 9 pseudogene,389033,2,0.3288134105356475
AC079953.2,1035811,A_23_P409093,78854,anoctamin 4,121601,12,-0.06834105760115515
AC084018.1,1022137,A_23_P116743,109578,uncharacterized LOC338799,338799,12,-0.08667085018843557
AC084125.1,1030881,A_23_P424878,56502,Rho GTPase activating protein 39,80728,8,-0.287381253534139
AC084209.1,1014773,CUST_11594_PI416261804,94581,RPL34 antisense RNA 1 (non-protein coding),285456,4,-0.017015488264085034
AC084851.1,1032639,CUST_3622_PI416261804,93849,tripartite motif containing 49B,283116,11,-0.08756206659393635
AC087392.3,1017736,A_23_P351535,1001816,"diazepam binding inhibitor-like 5, pseudogene",100131454,17,0.10834962479907194
AC087645.1,1010551,CUST_1107_PI416379584,94139,transmembrane protein 235,283999,17,-0.05226055795822844
AC087742.2,1050499,A_24_P296520,7283,ubiquitin-conjugating enzyme E2G 1,7326,17,-0.26296689339053525
AC090099.4,1019262,A_32_P177267,151044,mitochondrial carrier triple repeat 1 pseudogene,494141,11,-0.15365803112261375
